2025-12-11 11:13:40.631 [taskExecutor-13] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tencent/dianying 执行结束，耗时 504 ms
2025-12-11 11:13:40.644 [taskExecutor-5] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/cctv/3
2025-12-11 11:13:40.644 [taskExecutor-5] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/cctv/3 执行结束，耗时 520 ms
2025-12-11 11:13:40.669 [taskExecutor-11] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tencent/dianshiju
2025-12-11 11:13:40.669 [taskExecutor-11] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tencent/dianshiju 执行结束，耗时 542 ms
2025-12-11 11:13:40.695 [taskExecutor-11] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/cctv/7
2025-12-11 11:13:40.696 [taskExecutor-11] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/cctv/7 执行结束，耗时 26 ms
2025-12-11 11:13:40.702 [taskExecutor-16] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/baidu/minsheng
2025-12-11 11:13:40.702 [taskExecutor-16] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/baidu/minsheng 执行结束，耗时 574 ms
2025-12-11 11:13:40.724 [taskExecutor-9] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/baidu/qiche
2025-12-11 11:13:40.724 [taskExecutor-9] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/baidu/qiche 执行结束，耗时 598 ms
2025-12-11 11:13:40.745 [taskExecutor-8] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/yangshitiyu
2025-12-11 11:13:40.746 [taskExecutor-8] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/yangshitiyu 执行结束，耗时 620 ms
2025-12-11 11:13:40.751 [taskExecutor-10] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/dongfangcaifuwang
2025-12-11 11:13:40.751 [taskExecutor-10] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/dongfangcaifuwang 执行结束，耗时 625 ms
2025-12-11 11:13:40.786 [taskExecutor-15] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/dingxiangyisheng
2025-12-11 11:13:40.786 [taskExecutor-15] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/dingxiangyisheng 执行结束，耗时 659 ms
